id,SalePrice
1461,117789.14237967008
1462,151747.0776738664
1463,180401.17539128137
1464,193700.64775012832
1465,196017.1165824277
1466,173180.41694373463
1467,182804.0837574239
1468,163934.09846815967
1469,194066.58925240065
1470,119644.11759826998
1471,189695.627923536
1472,98304.7124317046
1473,95983.00901855592
1474,148340.4181635806
1475,118865.77456501874
1476,367292.91639611573
1477,254704.7846971615
1478,287894.6177687318
1479,298122.3926120855
1480,468737.4844120521
1481,329718.93717108376
1482,209211.42876914414
1483,170746.60665305855
1484,167005.4544567698
1485,183807.1871747931
1486,191897.7447657802
1487,340605.95088975853
1488,239386.56087153323
1489,199051.62565832102
1490,222989.43589862646
1491,191935.3044576146
1492,92564.51393803915
1493,190362.41231189846
1494,298031.42832570954
1495,296677.21591088176
1496,233413.05394305184
1497,182843.6468141069
1498,165284.54644805854
1499,161666.56699269213
1500,149713.94351399443
1501,177724.93502070766
1502,149160.5126640363
1503,291913.1164518362
1504,245150.83210061234
1505,227694.87422119657
1506,188235.4675680753
1507,249700.074745901
1508,203583.55342895773
1509,164461.9074807412
1510,144844.04940579168
1511,148650.4436608653
1512,173471.1073028543
1513,150013.36086738756
1514,158895.16578737216
1515,202967.68931016303
1516,157605.91563607974
1517,168480.1575225995
1518,132327.00485238893
1519,213209.93757776753
1520,130708.9651340216
1521,130106.10233638727
1522,179079.98455701245
1523,110584.58201882672
1524,124451.39548362163
1525,121789.21377020437
1526,112638.05950180235
1527,111521.13543761717
1528,136309.70042777405
1529,150971.31598828273
1530,189267.5604703776
1531,107543.82088621055
1532,100605.81065493028
1533,143221.6394583341
1534,125968.85187744876
1535,144626.79491826874
1536,108528.47088411365
1537,66565.72089830293
1538,142113.68259971117
1539,193528.07255710446
1540,85187.50383228413
1541,136836.58610839446
1542,140150.5321643968
1543,196053.96483143585
1544,84133.21854863246
1545,111799.18566802077
1546,133013.1256507976
1547,127541.75921448195
1548,134889.17534563778
1549,118206.54005487544
1550,136896.04615415764
1551,112394.77275692095
1552,137200.2029921313
1553,145278.80075837934
1554,118886.54665682532
1555,157343.28503643486
1556,83562.69485030972
1557,104700.71442428537
1558,98172.35849972907
1559,63060.76503421479
1560,138699.03250035347
1561,127624.3366706869
1562,129015.7729051538
1563,120130.36355091189
1564,156821.3845964057
1565,147202.56973606
1566,238981.3341019656
1567,76249.56549806359
1568,228433.25243878333
1569,126237.1099402523
1570,132757.4275778734
1571,120609.99814971088
1572,143546.5188188293
1573,244502.15006825037
1574,119595.87617529582
1575,227351.9556912663
1576,241451.13263695262
1577,186595.2304944519
1578,146891.63386362366
1579,141683.38961939656
1580,194805.2800077697
1581,152823.3099968098
1582,128199.32290683436
1583,303378.73132965807
1584,217101.2982301663
1585,139248.6232723871
1586,68305.74351613972
1587,103949.73738790344
1588,152213.93506506522
1589,94270.26015412441
1590,133700.40155188862
1591,92763.5465152206
1592,113355.29830423542
1593,132422.64091790235
1594,126561.46152728947
1595,108656.89190736729
1596,228049.95604825468
1597,188034.59725525865
1598,222144.87035019277
1599,176180.95798391197
1600,169560.22947706134
1601,66667.36134450065
1602,111915.30668394604
1603,73705.36826233035
1604,262465.36581890506
1605,243765.05675958042
1606,168574.85714668926
1607,168991.52819014995
1608,209337.20321411273
1609,188032.9448239506
1610,148931.49470552185
1611,134423.23788940185
1612,165889.51975257066
1613,158254.4083181161
1614,126201.49130688075
1615,92133.11412102522
1616,76666.96017270788
1617,95411.54713000807
1618,125540.58340588302
1619,141518.55173508666
1620,159448.35367898794
1621,133823.98748045706
1622,141780.97993080405
1623,269124.48604154075
1624,209658.6133803391
1625,122228.21842528268
1626,166845.55690988654
1627,188367.9050211479
1628,276676.9187802877
1629,185269.99728080875
1630,338763.7093179637
1631,224446.69050043292
1632,240445.7752290432
1633,172438.8914963003
1634,186797.55533648698
1635,177848.52338268925
1636,153537.89142729942
1637,197199.29079724234
1638,181492.8099391081
1639,184456.6628281966
1640,252467.5282570114
1641,184988.08630053644
1642,235273.41795289074
1643,222003.60746399662
1644,232303.2007623224
1645,204505.99723281735
1646,158326.8245007709
1647,161406.49892547954
1648,131371.31532039726
1649,137329.5461013894
1650,116776.68105725595
1651,123993.62850462733
1652,98161.4069376023
1653,100110.59719691702
1654,149433.06715864758
1655,145750.45662954185
1656,143172.44651198696
1657,150256.72862761485
1658,145746.83223600494
1659,126660.94589411316
1660,155297.5482661868
1661,428145.6278400881
1662,420552.1989907739
1663,382317.93767261994
1664,358907.32927814673
1665,303426.0919718403
1666,322961.28987030766
1667,367104.249928481
1668,337797.30711864156
1669,307527.8569769717
1670,358059.5559296741
1671,253330.3180750509
1672,427304.0286564349
1673,292076.4867014312
1674,247191.3482807398
1675,186458.71804937703
1676,187195.6079129919
1677,211876.62221024546
1678,435949.8127022791
1679,381336.7688016936
1680,329327.3862581727
1681,253799.89061117626
1682,315703.6560988637
1683,181436.7070419401
1684,173598.5022616207
1685,171713.75638463895
1686,173052.03788242154
1687,169936.2699251634
1688,189039.51368518666
1689,196788.14425046294
1690,196531.04910393895
1691,181816.75837216494
1692,270370.8682148695
1693,166738.26260656898
1694,184337.493695507
1695,169443.271587359
1696,277839.32902613154
1697,173425.24294505574
1698,360854.83051085693
1699,308420.46267590276
1700,248200.77525715978
1701,274604.31915497396
1702,239661.17440591136
1703,243367.24074661057
1704,278346.39512884733
1705,239712.0041034927
1706,367383.49386912567
